title,description,url
UC psychologists devise free test for measuring intelligence,"Raven’s Advanced Progressive Matrices, or APM, is a widely used standardized test to measure reasoning ability, often administered to undergraduate students. One drawback, however, is that the test, which has been in use for about 80 years, takes 40 to 60 minutes to complete. Another is that the test kit and answer sheets can cost hundreds of dollars, this amount increasing with more people taking the test.",https://news.ucr.edu/articles/2018/10/29/uc-psychologists-devise-free-test-measuring-intelligence
HOME,"Welcome to the UCR Mellon Mays Undergraduate Fellowship! 

Welcome! The Mellon Mays Undergraduate Fellowship (MMUF) is the centerpiece of the Andrew W. Mellon Foundation’s initiatives to increase diversity in the faculty ranks of institutions of higher learning. To reduce underrepresentation in the academy, the MMUF program's goal is to increase the number of students",https://mellonmays.ucr.edu/
Join Our Team - UCR | Brain Game Center,Spread the Word,https://braingamecenter.ucr.edu/join-our-team/
People,People of Presley Center of Crime and Justice Studies,https://presleycenter.ucr.edu/about/people
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/ranwei
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://sociology.ucr.edu/faculty/tanya-nieri/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://politicalscience.ucr.edu/people/faculty/newman/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://politicalscience.ucr.edu/people/faculty/loveridge/
UCR Profiles - Search & Browse,Search & Browse UCR Faculty & Staff,https://profiles.ucr.edu/app/home/profile/randolc
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://philosophy.ucr.edu/john-m-fischer/
  Events," on April 13, 2023",https://events.ucr.edu/calendar/day/2023/4/13
Nationwide project seeks to understand how brain exercises produce cognitive benefits,"How does memory training lead to cognitive benefits? Aaron Seitz, director of the Brain Game Center for mental fitness and well-being at the University of California, Riverside, has wrestled with this question for several years. ",https://news.ucr.edu/articles/2020/07/13/nationwide-project-seeks-understand-how-brain-exercises-produce-cognitive
Psychologist to lead research on Alzheimer’s in Riverside,UC Riverside study is part of a larger landmark study tracking older adults,https://news.ucr.edu/articles/2021/08/31/psychologist-lead-research-alzheimers-riverside
Aging Initiative,Tackling the multifaceted issues of aging,https://aging.ucr.edu/
Fields Summer Internship at JPL – 2018,"The University of California, Riverside and NASA’s Jet Propulsion Laboratory have developed the FIELDS program to train the next generation of scientists and engineers in large-scale data ana…",https://bigdata.ucr.edu/fields/internships/summer-interships/
FIELDS Research Internship at UCR,FIELDS Research Internship at UCR We off this opportunity for UCR undergraduates with majors in a STEM fields or visualization to perform research in collaboration with an UCR faculty member. Succe…,https://bigdata.ucr.edu/fields/internships/undergraduate_intership/
2016-17 FIELDS Graduate Student Fellowship,"2016-17 FIELDS Graduate Student Fellowship The FIELDS Graduate Student Fellowship is a financial package supporting full tuition and fees for one year, a $10,000 summer stipend and given satisfacto…",https://bigdata.ucr.edu/fields/fellowships/graduate-fellowships/
Public Outreach,"June 9, 2016 Cosmic Thursdays – Prof. Gabriela Canalizo Open to the public and free Bourns Hall Room A265 – UC Riverside 6:30 PM We suggest parking in lot 10 June 2, 2016 Torch Club, Re…",https://bigdata.ucr.edu/fields/outreach/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://astro.ucr.edu/lunar-eclipse-viewing/
Astronomy Group,Physics and Astronomy Department,https://astro.ucr.edu/
404 - Content Not Found,"We're Sorry, The requested object or URL could not be found. The link you followed is either outdated, inaccurate, or has been removed. Please visit the homepage to get back on track.",https://campusmap.ucr.edu/imap/index.html
